"id","rsin","gemeenteCode","kvk"
1a94f8df-a14f-40b3-98b1-71be047bdb23,001300015,0244,08217553
c791ae7b-c66f-49f2-9d26-4b4141b4f2bb,001096163,0252,50916769
595df1a3-efc4-4ff4-9148-7ed2f2cce793,813647320,0262,08215192
6843e01e-9885-4df5-bc76-fbb326dd6c72,001831197,0267,32165156
4afa51f0-a98a-41e9-a546-93dbbe15750a,001479179,0268,09220932
92754d0d-b0f2-4fec-b042-213f2ce7aab5,001202698,0274,09215649
69fc7a27-aad5-405f-95e9-a09511b508b9,001202637,0275,52066169
3b5295d8-33a1-4017-8a3b-6d01c89c1317,001202662,0277,09214922
d0f8ac01-d640-4461-8b25-db6ad680d581,001104469,0279,32168248
372d6058-ca77-44f7-b0d9-885e4ac46c4e,001104536,0289,09216322
2f5bd95d-3c27-4082-84d0-6c3fed8f569d,001202601,0293,09212509
d79df749-6fe6-45e0-afff-70edfc848e9b,001974658,0294,09219446
be9b64aa-7cfa-43d9-a409-62f4e30c82de,001096874,0296,09212602
dc3e611b-8cee-4be8-bb0e-f131b2ac7f70,807288111,0297,30276781
21d3fa71-8eb0-42b6-826a-1f75969085ff,858633164,0299,71235426
3dbd3bca-d6d6-4f30-9fd5-b6a7ccb4d73c,813584620,0301,50099604
801cc8e7-3af9-46c7-8551-30f60413b4c6,001935823,0303,32165460
7c1ebf9e-bd34-42dd-a45b-2542f7ea7a29,002508369,0307,32160938
7a75495c-d2a4-4eb9-bd8e-cb9ee7b02b32,001739657,0308,32167607
f98f85a0-24de-458a-9a9d-fc649a7078c0,002313273,0310,30286795
0790581f-af8a-4c93-8a77-04668d29ef5c,002691401,0312,30278213
d52dc687-c637-4bb5-abf3-75932f500a1e,002508631,0313,32165160
11a4bc20-ab43-4325-9737-1a4cc36a7bd1,001739712,0317,32170038
437d247d-c33e-4745-99c8-38f9606b8272,002313388,0321,30279619
48bcaeb2-670d-4654-9ceb-56f2ee96b95a,001721628,0335,30277195
0983e6b2-ef7b-4213-a144-ff0685caae9b,001104512,0339,32163726
d4e76305-68e8-43d5-93b1-81bedc2a17f5,001739682,0342,32163787
6da3b2ce-3cf7-469a-af64-de402d2416c1,002220647,0344,30280353
cc3d6c2f-2a70-446f-be68-33389cc469ff,001104470,0345,50182544
