"97.10 Code GBA-deelnemer","97.11 Omschrijving","97.12 Aanduiding aangesloten op het GBA-netwerk","99.98 Datum ingang","99.99 Datum einde"
"019401","Gemeente Brederwiede","1","19940701","20010101",""
"019501","Gemeente IJsselham","1","19930315","20010101",""
"019601","Gemeente Rijnwaarden","1","19920901","20180101",""
"019701","Gemeente Aalten/Burgerzakentaken","1","20180725","",""
"019801","Gemeente Ammerzoden","1","19930701","19990101",""
"019901","Gemeente Angerlo","1","19940701","20050101",""
"020001","Gemeente Apeldoorn/Burgerzakentaken","1","20180701","",""
"020201","Gemeente Arnhem/Burgerzakentaken","1","20180701","",""
"020301","Gemeente Barneveld/Burgerzakentaken","1","20180701","",""
"020601","Gemeente Bemmel","1","19940930","20030101",""
"020701","Gemeente Bergh","1","19940701","20050101",""
"020901","Gemeente Beuningen/Burgerzakentaken","1","20180725","",""
"021101","Gemeente Borculo","1","19940930","20050101",""
"021201","Gemeente Brakel","1","19940715","19990301",""
"021301","Gemeente Brummen/Burgerzakentaken","1","20180701","",""
"021401","Gemeente Buren/Burgerzakentaken","1","20180725","",""
"021601","Gemeente Culemborg/Burgerzakentaken","1","20180701","",""
"021801","Gemeente Didam","1","19940701","20050101",""
"021901","Gemeente Dinxperlo","1","19940701","20050101",""
"022001","Gemeente Dodewaard","1","19940930","20020101",""
"022101","Gemeente Doesburg/Burgerzakentaken","1","20180701","",""
"022201","Gemeente Doetinchem/Burgerzakentaken","1","20180701","",""
"022501","Gemeente Druten/Burgerzakentaken","1","20180725","",""
"022601","Gemeente Duiven/Burgerzakentaken","1","20180725","",""
"022701","Gemeente Echteld","1","19940915","20020101",""
"022801","Gemeente Ede/Burgerzakentaken","1","20180725","",""
"022901","Gemeente Eibergen","1","19940901","20050101",""
"023001","Gemeente Elburg/Burgerzakentaken","1","20180725","",""
"023101","Gemeente Elst","1","19920915","20010101",""
"023201","Gemeente Epe/Burgerzakentaken","1","20180701","",""
"023301","Gemeente Ermelo/Burgerzakentaken","1","20180701","",""
"023601","Gemeente Geldermalsen/Burgerzakentaken","1","20180701","20190101",""
"023701","Gemeente Gendringen","1","19940801","20050101",""
"023801","Gemeente Gendt","1","19940515","20010101",""
"023901","Gemeente Gorssel","1","19931115","20050101",""
"024001","Gemeente Groenlo","1","19940215","20060519",""
"024101","Gemeente Groesbeek","1","19940501","20160101",""
"024301","Gemeente Harderwijk/Burgerzakentaken","1","20180701","",""
"024401","Gemeente Hattem/Burgerzakentaken","1","20180725","",""
"024501","Gemeente Hedel","1","19940930","19990101",""
"024601","Gemeente Heerde/Burgerzakentaken","1","20180725","",""
"024701","Gemeente Heerewaarden","1","19940401","19990101",""
"024801","Gemeente Hengelo (Gld)","1","19920501","20050101",""
"025101","Gemeente Heteren","1","19940501","20010101",""
"025201","Gemeente Heumen/Burgerzakentaken","1","20180725","",""
"025301","Gemeente Hoevelaken","1","19940501","20000101",""
"025501","Gemeente Huissen","1","19940501","20010101",""
"025601","Gemeente Hummelo en Keppel","1","19940901","20050101",""
"025701","Gemeente Kerkwijk","1","19940401","19990101",""
"025801","Gemeente Kesteren","1","19940501","20030401",""
"026001","Gemeente Lichtenvoorde","1","19940901","20050101",""
